DataKey;EquipamentoKey;AreaKey;Disponibilidade;Conforto;Performance;Saude;OcorrenciasCriticas;OcorrenciasModeradas;OcorrenciasInformativas;OcorrenciasTotal;MTTR;TemperaturaMedia;Setpoint;TempoDentroConforto
20260101;1;1;96;92;95;94;0;1;1;2;3.5;23;24;92
20260101;2;1;94;88;90;89;0;2;0;2;4.2;24;24;88
20260101;3;2;98;97;98;97;0;0;1;1;2.8;22;23;97
20260101;4;2;95;91;93;93;0;1;0;1;3.8;23;24;91
20260101;5;3;97;94;96;95;0;0;0;0;0;22;23;95
20260102;1;1;95;90;94;93;0;0;2;2;3.2;24;24;90
20260102;2;1;93;87;89;88;1;1;1;3;5.5;25;24;86
20260102;3;2;99;98;99;98;0;0;0;0;0;22;23;98
20260102;4;2;94;89;92;92;0;1;1;2;4.0;23;24;89
20260102;5;3;96;93;95;94;0;0;1;1;2.5;22;23;93
